X1,LexikalischerFrame,KE1,KEE,KE2,Lesart,Schwierigkeit,Koerzion,No,Date,Genre,Bibl,ContextBefore,Hit,ContextAfter
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,cx,1,328,36580,Zeitung,"Die Zeit, 24.02.2000, Nr. 9","All das ausgegraben, zusammengepuzzelt und plausibel gemacht zu haben - diese Ehre gebührt Klaus Stern und Klaus Salge, die mit ihrem Feature gezeigt haben, wie spannend eine Geschichtsstunde im Fernsehen sein kann.","Kamera, Schnitt, Montage, Umgang mit Dokus, all das war handwerklich meisterhaft; Text und Message drückten sich bescheiden an den Rand.","Kein Besserwissen, kein gebrochener Stab, stattdessen Statements, Storys, Grübeleien."
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,330,36580,Zeitung,"Die Zeit, 24.02.2000, Nr. 9","Nie ist genug Platz in Zimmer acht, denn hier leben vier erwachsene Männer, aber an diesem Morgen quetschen sich ein Dutzend mehr hinein.","Sie sitzen auf den Betten und dem Aufklappsofa, sie drücken sich an den Schrank, hinter dem sich die Kochnische verbirgt, sie kauern auf den viel zu kleinen Plastikstühlen und schauen auf den Schwarzen im karierten Jackett, der leise zu ihnen spricht.","»Auch Jesus war ein Asylbewerber«, sagt er auf Englisch, so langsam und mit so tiefer Stimme, dass die Worte von weit her zu kommen scheinen."
trauen,Daring,Daring.Agent,Motion.Theme,Motion.Goal,incidental,a,7,335,36580,Zeitung,"Die Zeit, 24.02.2000, Nr. 9","Fürst zu Solms-Lich, meint der Leiter des Naturparks, müsste angesichts schwerer Verfehlungen seine Wälder wieder abgeben.",Nur traue sich höheren Orts niemand an das heikle Thema heran.,Die Treuhand hatte dem hessischen Adligen die Flächen bei der ersten regionalen Privatisierungsaktion verkauft - gegen den Protest von Forstleuten und Naturschützern.
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,c,1,368,36587,Zeitung,"Die Zeit, 02.03.2000, Nr. 10",Aus dem Sarg ragt sein rechter Arm mahnend in die Luft.,Das Volk drückt sich in weitem Abstand zum Leichenwagen ängstlich an den rechten Bildrand.,"""Werd euch als ein Toter noch einmal auskommen"", hatte der Verstorbene, der Mühlhiasl, zu seinen Lebzeiten vorhergesagt."
wagen,Daring,Daring.Agent,Motion.Theme,Motion.Goal,incidental,a,7,400,36601,Zeitung,"Die Zeit, 16.03.2000, Nr. 12",Das Fluidum der gefährdeten Metropole Berlin,Die Beschreibungskunst Hessels wagt sich sogar an das Bild seiner alten Geliebten:,"Als Franziska zu Reventlow 1928 ihre Briefe herausgibt, hat er die Stirn, Nerven und Delikatheit genug, auch das zu kommentieren, obwohl er sich direkt und indirekt wiederfindet:"
tappen,Seeking,Seeking.Cognizer_agent,Motion.Theme,Motion.Goal+Sought_entity,manner,a,5,405,36601,Zeitung,"Die Zeit, 16.03.2000, Nr. 12","Selbst für Musterfarmen wie die Rolhandel GmbH, die aus einem Teilbetrieb des früheren Staatsgutes Lötzen (polnisch: Gizýcko) hervorging und sich noch während des Umbruchs die besten Ausrüstungen sichern konnte, bleibt der Wiederaufstieg ein riskantes Unterfangen.","Die jetzt 30-köpfige Truppe der Poststaatsfarmer tappt sich nach Hörensagen an EU-Vorschriften heran, entsorgt die Gülle bodenschonend, gibt den Schweinen mehr Kräuter als Hormone.","""Aber wir suchen alleine - wie Blinde."
drängen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,417,36608,Zeitung,"Die Zeit, 23.03.2000, Nr. 13","Vor ein paar Tagen hat die Frau sie aus dem Heim geholt und gesagt, dass sie ihre Mutter sei.","Giovanna drängt sich an das Knie der Frau und versucht erneut, auf ihren Schoß zu klettern.","Die Mutter gibt ihr einen Schubs, dass sie hart auf die Dielen fällt."
tasten,Seeking,Seeking.Cognizer_agent,Motion.Theme,Motion.Goal+Sought_entity,manner,a,5,484,36622,Zeitung,"Die Zeit, 06.04.2000, Nr. 15","Läuft die Maschine dann noch rund, drosselt der Rechner die Spritzufuhr weiter und magert das Gemisch ab.","Dabei tastet sich die Elektronik an jenen Punkt heran, an dem die Motordrehzahl zu sinken beginnt.","Konstant soll er zwar laufen, aber keinen Kubikmillimeter mehr schlürfen, als es die jeweilige Fahrsituation erfordert."
schmeißen,Body_movement,Body_movement.Agent,Body_movement.Body_part,Body_movement.(Goal),manner,x,1,515,36636,Zeitung,"Die Zeit, 20.04.2000, Nr. 17","Wie in Louis Malles Irrlicht steht auch in Die Unberührbare jedes Stück Dasein unter erhöhtem Rechtfertigungsdruck, und hier wie dort bleibt am Ende der Selbstmord die bessere Alternative.","Oskar Roehler schmeißt sich nicht ran an die Tragödie, sondern sieht ihr zu, aber das mit Ausdauer.","Ganz ruhig geht er Kapitel für Kapitel durch, oft in langen Einstellungen, die mitunter quälend sind - aber nur dann, wenn sie eine quälende Situation ohne Scham begleiten bis zum bitteren Ende."
pirschen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,a,1,525,36636,Zeitung,"Die Zeit, 20.04.2000, Nr. 17","Von den Knabenträumen in schwäbischer Enge (""Kühn ist mein Wunsch... / Mich aufzuschwingen zu den Stralenhöhn / Des deutschen Bardenchors! zu glänzen dort, / Wo Klopstock und mein grauer Bodmer glänzt!"") bis zum letzten Erwachen im Tod.","Odenselig pirscht sich der Herr Juris Studiosus an die Großen heran; Bodmer und Lavater, Goeckingk und Uz, das ""herrliche Männchen"", werden eifrig bedichtet.","Er rauft um Stipendien - und am Wirtshaustisch auch schon mal mit den Kommilitonen, des süßen Weines voll."
begeben,Motion,Motion.Theme,NA,Motion.Goal,neutral,b,1,538,36643,Zeitung,"Die Zeit, 27.04.2000, Nr. 18","Von Omara Portuondo, der einzigen Frau in der Buena-Vista-Herrenriege, schlägt Mießgang den Bogen zur Königin des Trova-Lieds, Maria Teresa Vera, vom Sänger mit dem Schlapphut, Ibrahim Ferrer, zum Mambokönig Benny Moré, mit dessen Tod die Ära der Riesenorchester zu Ende ging, vom arthritischen Pianisten Ruben Gonzales zu dessen blindem Bandleader Arsenio Rodrigues, der in den vierziger Jahren den Klang der Conjunto-Ensembles revolutionierte.","Thomas Mießgang begibt sich an die notorischen Orte wie das Casa de la Trova in Santiago de Cuba oder die Uferpromenade des Malecon in Havanna, er nimmt Teil an Zeremonien der afrokubanischen Religion, verirrt sich auf eine Propagandakundgebung für die Rückkehr des sechsjährigen Elian, und er meidet auch nicht den Abstecher in die Touristendiskotheken.","Nostalgie und Alltag: Thomas Mießgang beschreibt, wie sich in der Musik eine kubanische Nationalkultur herausbildete, deren Kennzeichen die Vermischung von afrikanischem und europäischem Erbe ist, verschweigt auch nicht den verdeckten Rassismus, der auf Kuba fortlebt."
arbeiten,Work,Work.Agent,Motion.Theme,Motion.Goal+Work.Salient_entity,means,b,5,541,36643,Zeitung,"Die Zeit, 27.04.2000, Nr. 18",Mehrere Mitarbeiter Berlusconis landeten in Untersuchungshaft.,Die Ermittler arbeiteten sich an den großen Zampano heran.,Der Mythos Berlusconi schien am Ende.
tasten,Seeking,Seeking.Cognizer_agent,Motion.Theme,Motion.Goal+Sought_entity,manner,c,5,548,36643,Zeitung,"Die Zeit, 27.04.2000, Nr. 18","Roland Kusatz, Gynäkologe aus Oberösterreich, rät deshalb, ""erst die Dreimonatsspritze zu verabreichen, um die Verträglichkeit in puncto Haut und Depressionen zu testen"".","In Österreich tastet sich die Gynäkologenschaft ""vorsichtig und abwartend"" an das Präparat heran.","Das Medienecho war groß, die Nachfrage bei den Patientinnen auch - besonders bei den jungen, pillenmüden Frauen."
wagen,Daring,Daring.Agent,Motion.Theme,Motion.Goal,incidental,a,7,589,36861,Zeitung,"Archiv der Gegenwart, 2001 [2000]","Nachdem wir mit der Steuerreform einigermaßen rübergekommen sind und sich auch bei der Rente etwas abzeichnet - beim Thema Gesundheit tun wir uns nach wie vor schwer -, ist die Flexibilisierung des Arbeitsrechtes der entscheidende Reformpunkt in der Bundesrepublik Deutschland.",Die rot-grüne Koalition wagt sich an diesen Punkt nicht heran.,"Wenn wir aber an ihn nicht herangehen, wird das zum Nachteil der Arbeitsplätze sein."
drängen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,608,36892,Belletristik,"Hettche, Thomas: Der Fall Arbogast, Köln: DuMont Buchverlag, 2001, S. 12",Zog ihre Schenkel heran und drang in sie ein.,"Für einen Moment meinte er, Widerwillen zu spüren, doch dann sah sie ihn an, drängte sich dicht an ihn und folgte seinen Bewegungen.","Er küßte sie nicht, sah sie nur unverhohlen an und stieß zu, bis er kam."
schieben,Cause_motion,Cause_motion.Agent,Cause_motion.Theme,Cause_motion.Goal,neutral,cx,1,644,36892,Belletristik,"Hettche, Thomas: Der Fall Arbogast, Köln: DuMont Buchverlag, 2001, S. 299","Katja Lavans erwiderte zwar den leichten Druck zunächst nicht, rückte aber auch nicht ab.",Große Schwarzwälder Bauernhäuser schoben sich oft bedrohlich an die Straße heran.,Die wenigen Lichter schimmerten unterhalb der riesigen Dächer wie die Positionslampen kopfüber mit leuchtendem Kiel im Mondlicht kreuzender Klipper.
beugen,Body_movement,Body_movement.Agent,Body_movement.Body_part,Body_movement.(Goal),neutral,x,1,650,36892,Belletristik,"Hettche, Thomas: Der Fall Arbogast, Köln: DuMont Buchverlag, 2001, S. 343","»Wenn ich den ganzen Tag hier stehe, wünsche ich mir manchmal, auch nichts mehr zu sehen.«",Arbogast nickte und beugte sich nah an die Maske heran.,Ihre hölzerne Haut glänzte wächsern fahl und war an manchen Stellen etwas abgestoßen.
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,cx,1,654,36892,Belletristik,"Pressler, Mirjam: Malka Mai, Weinheim Basel: Beltz & Gelberg 2001, S. 38","Hanna hörte an ihren abgehackten Atemzügen, dass ihre Tochter mit dem Weinen kämpfte, und berührte ihr Gesicht.","Da drehte sich Minna auf die Seite, legte ihren Kopf auf den Arm ihrer Mutter und drückte sich an sie wie früher, als sie noch ein kleines Kind gewesen war.","Hanna lag auf dem Rücken, spürte den warmen Atem ihrer großen Tochter am Hals und schaute durch das offene Fenster an der gegenüberliegenden Wand."
drängen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,660,36892,Belletristik,"Pressler, Mirjam: Malka Mai, Weinheim Basel: Beltz & Gelberg 2001, S. 79","Er schien die Situation gleich zu verstehen, denn er zog sie sofort in die Küche, noch bevor sie ein Wort sagen konnte.","In der Küche drängten sich zwei kleine Jungen an ihre Mutter, als ihr Vater mit der fremden Frau hereinkam, ein Mädchen, etwa in Malkas Alter, schnippelte Gemüse, Karotten, Lauch, Sellerie.",Frau Kopolowici war eine schöne Frau mit heller Haut und blauen Augen.
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,662,36892,Belletristik,"Pressler, Mirjam: Malka Mai, Weinheim Basel: Beltz & Gelberg 2001, S. 84",Sie legte sich neben sie auf das Bett und zog sie an sich.,Malka drückte sich an ihre Schwester und beruhigte sich langsam.,"»Wenn wir in Erez-Israel sind«, sagte Minna, »wird alles gut."
schieben,Cause_motion,Cause_motion.Agent,Cause_motion.Theme,Cause_motion.Goal,neutral,c,1,668,36892,Belletristik,"Pressler, Mirjam: Malka Mai, Weinheim Basel: Beltz & Gelberg 2001, S. 113",Wann würde sie das Kind wiederbekommen?,"Sie schob sich etwas näher an Minna, so dass sie die Wärme ihrer Tochter spürte, und drückte ihr vorsichtig, um sie nicht zu wecken, einen Kuss auf die Haare.","HERR KOPOLOWICI BRACHTE MALKA nicht in ein neues Versteck, wie sie es erwartet hatte, sondern ging mit ihr die Straße entlang, die zur Stadt führte."
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,669,36892,Belletristik,"Pressler, Mirjam: Malka Mai, Weinheim Basel: Beltz & Gelberg 2001, S. 114","Sie lief die Straße entlang, auf die Stadt zu.","Die ersten Menschen, die sie traf, wagte sie noch nicht anzuschauen, sie senkte den Kopf und drückte sich an Hauswände oder in Toreinfahrten, doch bald merkte sie, dass niemand sie beachtete.","Ihr fiel der Satz ein, den ihre Mutter in jener Nacht gesagt hatte und den sie erst jetzt wirklich zu hören meinte:"
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,c,1,692,36892,Belletristik,"Pressler, Mirjam: Malka Mai, Weinheim Basel: Beltz & Gelberg 2001, S. 265",Sie würde das Kind holen.,"MALKA KROCH TIEFER in ihre warme, dunkle Höhle und drückte sich hinten an die Wand, um den Händen auszuweichen, die sie hinauszerren wollten, in die Kälte, in das grelle Licht.","Nein, rief sie, nein, aber die Hände packten sie und zogen sie erbarmungslos hinaus."
drängen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,742,37256,Gebrauchsliteratur,"Schwanitz, Dietrich: Männer, Frankfurt a. M.: Eichborn 2001, S. 192",Komm!,(drängt sich an ihn und versucht ihn zu küssen) .,MERKUR:
schleichen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,c,1,761,37257,Belletristik,"Kopetzky, Steffen: Grand Tour, Frankfurt am Main: Eichborn 2002, S. 121","Dieses Verbot hatte das Alte Sudhaus für Friedrich zu einem faszinierenden Ort gemacht, und da er am Nachmittag nach der Schule mehr oder weniger unbeaufsichtigt war, zog es ihn mit der unbeschreiblichen Schwerkraft, die geheimnisvolle Tabus auf Kinder ausüben, immer wieder dorthin.","Er verbarg sich hinter Büschen und schlich sich gebückt an das Sudhaus heran, um irgendwie zu sehen, was die Bittschöns machten.","Beim kleinsten Geräusch rannte er mit zugeschnürtem Hals davon, versteckte sich irgendwo und dachte sofort daran, sich wieder hinzuschleichen."
pirschen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,a,1,790,37257,Belletristik,"Kopetzky, Steffen: Grand Tour, Frankfurt am Main: Eichborn 2002, S. 489",Er kaufte.,"Seiner wachsenden Sammlung mechanischer Armbanduhren führte er Stück um Stück zu, pirschte sich dabei beständig an die ›legendären Fünf‹ aus Josefs Manual heran, dem verborgenen Kern seiner Sammlung, der seit dem 21. April 1992 der Vollständigkeit nahe war – dem Tag, an dem es ihm gelungen war, die Lange & Söhne Platinuhr mit dem originalen Platinband zu erwerben, in dem das berühmte 9x11""-Werk von Niton Genf mit Breguetspirale arbeitete ...","Das hieß, seine Sammlung war vollständig – bis auf die Ziffer à Grande Complication."
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,909,37622,Belletristik,"Braun, Marcus: Hochzeitsvorbereitungen, Berlin: Berlin Verlag 2003, S. 48","»Ah ja«, sagt Kranach.","»Ich drücke mich an die Wand, damit die vorbeikönnen, und sage laut guten Abend, wie so ein richtig dummes Arschloch, jedenfalls grüßen die erst, als sie schon fast weg sind, als wäre ihnen das furchtbar unangenehm oder als hätten sie was zu verbergen, ich sage dir, die sahen echt übel aus.«",»Und dann haben sie dir zwei Krummsäbel an die Eier gehalten.«
drängeln,Cause_motion,Cause_motion.Agent,Cause_motion.Theme,Cause_motion.Goal,manner,a,1,926,37622,Belletristik,"Dölling, Beate: Hör auf zu trommeln, Herz, Weinheim: Beltz & Gelberg 2003, S. 81",»It's okay.«,Sie drängelt sich noch enger an ihn.,"Armand tupft seine kühlen Lippen auf ihre schweren Lider, flüstert: »Perhaps it 's better we gonna sleep a little bit. «"
hängen,Body_movement,Body_movement.Agent,Body_movement.Body_part,Body_movement.(Goal),neutral,a,1,931,37622,Belletristik,"Dölling, Beate: Hör auf zu trommeln, Herz, Weinheim: Beltz & Gelberg 2003, S. 98",»Was ist aus?«,"Daisy hängt sich an Katharinas Arm, zerrt sie auf die Eckbank.",Aus dem Wohnzimmer Fernsehstimmen.
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,c,1,943,37622,Belletristik,"Dölling, Beate: Hör auf zu trommeln, Herz, Weinheim: Beltz & Gelberg 2003, S. 246",Zweimal war sie schon mit ihm im Wald.,"Es ist zwar ein bisschen unheimlich, wenn sie die vielen Wildschweine in der Tannenschonung grunzen hört, aber dann bellt Katharina so laut, wie sie beim Laufen bellen kann, und Cäsar zieht den Schwanz ein und drückt sich ganz nah an sie heran.","Das Laufen tut gut, es sortiert ihre Gedanken, macht sie ruhig, zufrieden und frisch."
pressen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,c,1,1000,37622,Belletristik,"Funke, Cornelia: Tintenherz, Hamburg: Cecilie Dressler Verlag 2003, S. 239","Mo war in die Knie gegangen, damit man seinen Kopf nicht über dem Gewirr der Zweige sah.","Staubfinger presste sich dicht an den krummen Stamm und da, schrecklich nah, höchstens zwanzig Schritte entfernt von den beiden, stand Basta.",Durch Disteln und kniehohes Gras schob er sich den Hang hinauf.
schleichen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,a,1,1007,37622,Belletristik,"Funke, Cornelia: Tintenherz, Hamburg: Cecilie Dressler Verlag 2003, S. 288","Staubfinger blickte sich um, musterte die schmalen Häuser, blassgelb, rosa, pfirsichfarben, die dunkelgrünen Fensterläden und rostrot geziegelten Dächer, den Oleander, der vor einer Mauer blühte, als stünden seine Zweige in Flammen, die Katzen, die um die warmen Mauern strichen.","Farid schlich sich an eine von ihnen heran, griff in das graue Fell und setzte sie auf seinen Schoß, obwohl sie ihm die Krallen in die Schenkel grub.","»Weißt du, was man hier tut, damit die Katzen sich nicht allzu sehr vermehren?«"
hängen,Body_movement,Body_movement.Agent,Body_movement.Body_part,Body_movement.(Goal),neutral,cx,1,1119,37987,Belletristik,"Düffel, John von: Houwelandt, Köln: DuMont Literatur und Kunst Verlag 2004, S. 159","Dann stand er auf, barfuß, lautlos, schlich zu dem großen Ostfenster an der Stirnseite des Saales und schlüpfte durch den Vorhangschlitz.","Behend schwang er sich aufs Fensterbrett, nutzte die gußeisernen Griffe als Sprossen und hängte sich, den Vorhangstoff im Rücken, an die massive Querstange.","Er war fest entschlossen, dort so lange auszuharren, bis Gott Tag werden ließ und ihn erlöste."
schleichen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,1166,37987,Belletristik,"Widmer, Urs: Das Buch des Vaters, Zürich: Diogenes 2004, S. 59","Er fing sie unter der Badezimmertür ab, wenn sie die Augenbrauen auszupfen wollte, oder schoß im Estrich, als sei er das Schloßgespenst, zwischen den nassen, an langen Schnüren aufgehängten Leintüchern hervor, so daß Clara vor Schreck oder Freude den Wäschekorb fallen ließ.","Oder er schlich sich in der Küche an sie heran, wenn sie am Herd stand und eine Sauce für die Spaghetti kochte.","Tomaten, Kräuter, Knoblauch, sie hatte das Kochen von ihren italienischen Tanten gelernt."
drängen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,b,1,1179,37987,Belletristik,"Widmer, Urs: Das Buch des Vaters, Zürich: Diogenes 2004, S. 147","Der Kirchnerschüler grinste, als sei ihnen allen eben ein besonders guter Streich gelungen, und der Architekt hob beide Hände in die Höhe.","Sie drängten sich an den schon übervollen Stammtisch und erzählten beide gleichzeitig, jeder dem andern ins Wort fallend, daß, als das Ergebnis feststand, mehrere bürgerliche Parlamentarier und sogar Regierungsrat Ebi, ein katholisch-konservativer Mann aus Eisen, in Tränen ausgebrochen seien. –","Das tat, zur Überraschung aller, auch der Schriftsetzer Wälti, als er begriff, daß er doch nicht gewählt worden war."
tasten,Seeking,Seeking.Cognizer_agent,Motion.Theme,Motion.Goal+Sought_entity,manner,b,5,1207,37987,Wissenschaft,"Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 419","Die naiven Dichter der Antike sind noch ganz Natur, den modernen aber bleibt nichts anderes übrig, als die verlorene Natur zu suchen (V, 712).","Schiller tastet sich an den Urschmerz des Bewußtseins heran, an jenen Augenblick, da das erwachende Bewußtsein die unmittelbare Leichtigkeit des Seins, die traumwandlerische Sicherheit der natürlichen Lebensvollzüge, die Unbefangenheit verliert.","Deshalb die schlechte Künstlichkeit und der seelenlose Mechanismus, für Schiller die große Gefahr der Moderne."
tasten,Seeking,Seeking.Cognizer_agent,Motion.Theme,Motion.Goal+Sought_entity,manner,b,5,1208,37987,Wissenschaft,"Safranski, Rüdiger: Friedrich Schiller, München Wien: Carl Hanser 2004, S. 419","Die naiven Dichter der Antike sind noch ganz Natur, den modernen aber bleibt nichts anderes übrig, als die verlorene Natur zu suchen (V, 712).","Schiller tastet sich an den Urschmerz des Bewußtseins heran, an jenen Augenblick, da das erwachende Bewußtsein die unmittelbare Leichtigkeit des Seins, die traumwandlerische Sicherheit der natürlichen Lebensvollzüge, die Unbefangenheit verliert.","Deshalb die schlechte Künstlichkeit und der seelenlose Mechanismus, für Schiller die große Gefahr der Moderne."
pressen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,a,1,1229,38353,Belletristik,"Boie, Kirsten: Skogland, Ort: Hamburg 2005, S. 171","Weiter konnte sie sich dem Gespräch nicht nähern, der Kies würde unter ihren Füßen knirschen.","Ein gestutzter Lorbeer wuchs zwischen Rasen und Weg; Jarven presste sich an seinen Stamm und versuchte, kein Geräusch zu machen.","»Dann verstehe ich allerdings nicht, warum Sie uns haben weitersuchen lassen, Hoheit«, sagte eine unbekannte Stimme."
drängen,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,x,1,1244,38353,Belletristik,"Genazino, Wilhelm: Die Liebesblödigkeit, München, Wien: Carl Hanser Verlag 2005, S. 15","Frühmorgens, gegen halb sechs, fast gleichzeitig mit der ersten Dämmerung, öffne ich die Augen.","Mein Geschlecht ist vor mir wach, ich dränge mich an Sandra heran, sie versteht sofort.",Eine halbe Minute später stecken wir ineinander.
hängen,Body_movement,Body_movement.Agent,Body_movement.Body_part,Body_movement.(Goal),neutral,c,1,1264,38353,Belletristik,"Genazino, Wilhelm: Die Liebesblödigkeit, München, Wien: Carl Hanser Verlag 2005, S. 128","Ich vermute, sie weint wegen einer zukünftigen Katastrophe; ihr Unbewußtes ist sicher, daß sie verlassen werden wird.",Nach drei Minuten taumelt sie geschwächt von den Weinkistchen herunter und hängt sich schluchzend an mich.,"Mein Gott, wie mich das mitnimmt, sagt sie und legt sich nackt auf das Bett."
drücken,Self_motion,Self_motion.Self_mover,NA,Self_motion.Goal,manner,b,1,1320,38353,Belletristik,"Schulze, Ingo: Neue Leben, Berlin: Berlin Verlag 2005, S. 375","Ich gab ihr die Reisetasche, und sie stieg ein, wahrscheinlich als letzte.","Die Leute im Gang drückten sich an die Scheiben, um sie durchzulassen.",Ich begleitete Vera von Fenster zu Fenster.
schieben,Cause_motion,Cause_motion.Agent,Cause_motion.Theme,Cause_motion.Goal,neutral,x,1,1366,38718,Belletristik,"Arjouni, Jakob: Chez Max, Zürich: Diogenes 2006, S. 32",Hinter den Fenstern der Häuser links und rechts kam Bewegung auf.,"Vorhänge wurden noch weiter zur Seite geschoben, Arme winkten neue Leute aus dem Inneren der Wohnungen heran, noch mehr Gesichter schoben sich an die Scheiben.",Ich trat instinktiv einen Schritt zurück.
